"site","treatment","days.post.fert","replicate","cumflux","max_day","kg_N2O_N_ha"
"T18","80",0,"a",25.2459215214812,29,0.261164705394633
"T18","80",0,"b",38.970593292059,29,0.403144068538542
"T18","80",0,"c",40.2584758859629,29,0.416466991923754
"T18","80",0,"d",46.9701762359535,29,0.485898374854691
"T18","80",0,"e",24.9899191251504,29,0.258516404742935
"T18","120",0,"a",72.6130158989571,29,0.751169129989212
"T18","120",0,"b",77.7304743129935,29,0.804108354962001
"T18","120",0,"c",89.3299290945071,29,0.924102714770763
"T18","120",0,"d",65.0694345702596,29,0.673132081761306
"T18","120",0,"e",95.5266885273955,29,0.988207122697195
"T18","160",0,"a",111.736433408619,29,1.15589413870985
"T18","160",0,"b",146.595568512036,29,1.51650588115899
"T18","160",0,"c",135.04473515679,29,1.39701450162197
"T18","160",0,"d",109.26498104187,29,1.13032739008831
"T18","160",0,"e",137.176973605987,29,1.41907214075159
"T27","80",0,"a",81.6827493043078,28,0.875172313974726
"T27","80",0,"b",93.540504211772,28,1.00221968798327
"T27","80",0,"c",84.7758079808512,28,0.908312228366262
"T27","80",0,"d",75.3534442744534,28,0.807358331512001
"T27","80",0,"e",74.0861106716315,28,0.793779757196051
"T27","120",0,"a",240.676320064302,28,2.5786748578318
"T27","120",0,"b",167.301617337708,28,1.7925173286183
"T27","120",0,"c",184.065751315989,28,1.97213304981416
"T27","120",0,"d",245.532204700545,28,2.63070219322013
"T27","120",0,"e",217.293981357434,28,2.32814980025822
"T27","160",0,"a",370.363646514311,28,3.96818192693905
"T27","160",0,"b",360.098957902376,28,3.8582031203826
"T27","160",0,"c",210.013294481957,28,2.25014244087811
"T27","160",0,"d",303.725079657471,28,3.25419728204433
"T27","160",0,"e",309.020032703036,28,3.31092892181824
"T15","80",1,"a",58.3965516991436,30,0.583965516991436
"T15","80",1,"b",29.226679327654,30,0.29226679327654
"T15","80",1,"c",35.9241348330401,30,0.359241348330401
"T15","80",1,"d",64.5581014077924,30,0.645581014077924
"T15","80",1,"e",41.6923279357173,30,0.416923279357173
"T15","120",2,"a",50.0085911856737,30,0.500085911856737
"T15","120",2,"b",29.5661853497594,30,0.295661853497594
"T15","120",2,"c",65.1263876469874,30,0.651263876469874
"T15","120",2,"d",19.1162593447399,30,0.191162593447399
"T15","120",2,"e",39.3088252623706,30,0.393088252623706
"T15","160",2,"a",131.84853795899,30,1.3184853795899
"T15","160",2,"b",43.7536172767124,30,0.437536172767124
"T15","160",2,"c",43.2696520498858,30,0.432696520498858
"T15","160",2,"d",138.274783513333,30,1.38274783513333
"T15","160",2,"e",30.3303937301351,30,0.303303937301351
