"chamber_ID","site","treatment","chamber","month","day","year","date","days.post.fert","fert.added","LU","N2O_mg_N_m2_h","N2O_m","N2O_r2","CO2_m","CO2_r2","CH4_m","CH4_r2"
"T18_80_A_0","T18","80","A","2","8","2017","2/8/2017","0","1","1",-0.0099670663160605,-0.00101266666666667,0.244025990079057,18.7388006666667,0.89706620811111,-0.00760266666666666,0.475815723294415
"T18_80_C_0","T18","80","C","2","8","2017","2/8/2017","0","1","1",0.0211986973741947,0.00225333333333333,0.996644412597435,52.24238,0.998172164727307,0.0167866666666666,0.945057589731519
"T18_80_D_0","T18","80","D","2","8","2017","2/8/2017","0","1","1",0.018418074940338,0.001986,0.977285164237293,51.5849846666667,0.978342961334788,-0.00146599999999999,-0.385422679319654
"T18_80_E_0","T18","80","E","2","8","2017","2/8/2017","0","1","1",0.0135446763580968,0.00136533333333333,0.997331131092061,51.6528826666667,0.984869972693474,0.0128926666666667,0.940823526802639
"T18_120_B_0","T18","120","B","2","8","2017","2/8/2017","0","1",NA,0.0179174377405246,0.00189333333333333,0.999330714028978,31.0947123809524,0.999102865184684,-0.00918904761904763,0.990808994747289
"T18_120_C_0","T18","120","C","2","8","2017","2/8/2017","0","1",NA,0.0142832497448143,0.00155133333333333,0.783755791596564,38.0689913333333,0.996954019363688,-0.00280200000000001,-0.0388715342357375
"T18_120_D_0","T18","120","D","2","8","2017","2/8/2017","0","1",NA,0.00837443044270637,0.000910666666666665,-0.14444887641163,44.1311306666667,0.994893770776556,-0.00107866666666668,-0.49508635085029
"T18_120_E_0","T18","120","E","2","8","2017","2/8/2017","0","1",NA,0.0128689717689373,0.00142533333333333,0.517261454373892,47.529746,0.966146342910446,0.00124400000000001,-0.495924475670498
"T18_160_A_0","T18","160","A","2","8","2017","2/8/2017","0","1",NA,0.0319743679820666,0.00364952380952381,0.997704253267052,41.8986380952381,0.908584858862325,0.000767619047619034,-0.997049710595759
"T18_160_B_0","T18","160","B","2","8","2017","2/8/2017","0","1",NA,0.00466303938009529,0.000543999999999999,0.398494089706913,55.1994286666667,0.928418546345589,0.000945999999999994,-0.495476449686184
