date_measured,site,precip_mm,days.post.fert
2/9/2017,T18,2,1
2/10/2017,T27,45.72,1
2/12/2017,T18,22.8,4
2/12/2017,T27,60.198,3
2/13/2017,T18,6,5
2/13/2017,T27,0,4
2/14/2017,T27,19.304,5
2/14/2017,T18,18.6,6
2/15/2017,T27,3.81,6
2/15/2017,T18,3.2,7
2/16/2017,T15,0.2,2
2/16/2017,T27,0.508,7
2/17/2017,T27,3.81,8
2/19/2017,T15,22.5,5
2/17/2017,T15,0,3
2/18/2017,T15,7.62,4
2/20/2017,T15,0,6
2/21/2017,T15,33.274,7
2/22/2017,T15,12.95,8
2/23/2017,T15,22.35,9
2/24/2017,T15,0,10
2/25/2017,T15,42.668,11
2/26/2017,T15,4.318,12
2/27/2017,T15,4.064,13
2/28/2017,T15,4.318,14
3/1/2017,T15,0.762,15
3/2/2017,T15,1.27,16
3/3/2017,T15,4.826,17
3/4/2017,T15,7.366,18
3/5/2017,T15,0,19
3/6/2017,T15,0,20
3/7/2017,T15,0.508,21
3/8/2017,T15,0,22
3/9/2017,T15,0,23
3/10/2017,T15,0,24
3/11/2017,T15,0,25
3/12/2017,T15,6.35,26
3/13/2017,T15,26.666,27
3/14/2017,T15,52.832,28
3/15/2017,T15,3.556,29
3/16/2017,T15,4.572,30
2/18/2017,T27,7.62,9
2/19/2017,T27,1.016,10
2/20/2017,T27,0,11
2/21/2017,T27,33.274,12
2/22/2017,T27,12.95,13
2/23/2017,T27,22.35,14
2/24/2017,T27,0,15
2/25/2017,T27,42.668,16
2/26/2017,T27,4.318,17
2/27/2017,T27,4.064,18
2/28/2017,T27,4.318,19
3/1/2017,T27,0.762,20
3/2/2017,T27,1.27,21
3/3/2017,T27,4.826,22
3/4/2017,T27,7.366,23
3/5/2017,T27,0,24
3/6/2017,T27,0,25
3/7/2017,T27,0.508,26
3/8/2017,T27,0,27
3/9/2017,T27,0,28
3/10/2017,T27,0,29
3/11/2017,T27,0,30
2/16/2017,T18,4.572,8
2/17/2017,T18,0,9
2/18/2017,T18,7.62,10
2/19/2017,T18,1.016,11
2/20/2017,T18,0,12
2/21/2017,T18,33.274,13
2/22/2017,T18,12.95,14
2/23/2017,T18,22.35,15
2/24/2017,T18,0,16
2/25/2017,T18,42.668,17
2/26/2017,T18,4.318,18
2/27/2017,T18,4.064,19
2/28/2017,T18,4.318,20
3/1/2017,T18,0.762,21
3/2/2017,T18,1.27,22
3/3/2017,T18,4.826,23
3/4/2017,T18,7.366,24
3/5/2017,T18,0,25
3/6/2017,T18,0,26
3/7/2017,T18,0.508,27
3/8/2017,T18,0,28
3/9/2017,T18,0,29
3/10/2017,T18,0,30
