obs,site,treatment,chamber,month,day,year,days.post.fert,NO3_N_mg_kg_soil,NH4_N_mg_kg_soil,g_h2o_g_soil,volum_h2o_content,soil_porosity,SWFPS,chamber_ID
1,T18,80,A,2,8,2017,0,2.022014245,146.4874647,0.224209078,0.262070364,0.558918498,46.88883346,T18_80_A_0
2,T18,80,B,2,8,2017,0,1.169115054,69.24377507,0.225247525,0.263284169,0.558918498,47.10600369,T18_80_B_0
3,T18,80,C,2,8,2017,0,3.784931961,82.96180084,0.217741935,0.254511141,0.558918498,45.53636018,T18_80_C_0
4,T18,80,D,2,8,2017,0,1.392405446,243.4781856,0.208012327,0.243138532,0.558918498,43.50160757,T18_80_D_0
5,T18,80,E,2,8,2017,0,2.88337861,85.23320646,0.218045113,0.254865514,0.558918498,45.59976363,T18_80_E_0
6,T18,120,A,2,8,2017,0,3.292090139,82.43163802,0.203389831,0.237735453,0.558918498,42.53490518,T18_120_A_0
7,T18,120,B,2,8,2017,0,1.258006866,83.35939311,0.209832134,0.245265643,0.558918498,43.88218385,T18_120_B_0
8,T18,120,C,2,8,2017,0,4.910722555,46.91233751,0.204724409,0.239295397,0.558918498,42.81400561,T18_120_C_0
9,T18,120,D,2,8,2017,0,2.321409924,150.2002005,0.211640212,0.247379043,0.558918498,44.26030698,T18_120_D_0
10,T18,120,E,2,8,2017,0,5.616671243,91.61082252,0.224350205,0.262235322,0.558918498,46.9183473,T18_120_E_0
11,T18,160,A,2,8,2017,0,3.654894431,117.5471936,0.226872247,0.265183251,0.558918498,47.44578171,T18_160_A_0
12,T18,160,B,2,8,2017,0,4.024616482,150.6857705,0.224909311,0.262888842,0.558918498,47.03527302,T18_160_B_0
13,T18,160,C,2,8,2017,0,4.59622854,46.9447034,0.206896552,0.24183434,0.558918498,43.26826561,T18_160_C_0
14,T18,160,D,2,8,2017,0,4.261273825,73.33721826,0.229611041,0.268384535,0.558918498,48.01854571,T18_160_D_0
15,T18,160,E,2,8,2017,0,5.113339055,150.2177268,0.213459516,0.249505566,0.558918498,44.64077807,T18_160_E_0
16,T18,80,A,2,9,2017,1,1.773310436,3.308319774,0.188988095,0.220901755,0.558918498,39.52307099,T18_80_A_1
17,T18,80,B,2,9,2017,1,1.985972617,15.87184637,0.209612817,0.245009291,0.558918498,43.83631805,T18_80_B_1
18,T18,80,C,2,9,2017,1,4.155416521,4.856480369,0.196556671,0.229748406,0.558918498,41.10588696,T18_80_C_1
19,T18,80,D,2,9,2017,1,2.458677251,5.941155515,0.200686106,0.234575162,0.558918498,41.96947548,T18_80_D_1
20,T18,80,E,2,9,2017,1,1.319529407,16.1611748,0.18469218,0.215880405,0.558918498,38.62466639,T18_80_E_1
21,T18,120,A,2,9,2017,1,3.731305973,8.896400717,0.212857143,0.248801473,0.558918498,44.51480374,T18_120_A_1
22,T18,120,B,2,9,2017,1,2.173122854,3.566641316,0.187660668,0.219350171,0.558918498,39.24546628,T18_120_B_1
23,T18,120,C,2,9,2017,1,59.04606555,333.9681757,0.181818182,0.212521087,0.558918498,38.02362736,T18_120_C_1
24,T18,120,D,2,9,2017,1,2.607650993,4.814075155,0.186259542,0.217712442,0.558918498,38.95244879,T18_120_D_1
25,T18,120,E,2,9,2017,1,2.189821451,9.176469125,0.208991495,0.244283048,0.558918498,43.7063809,T18_120_E_1
28,T18,160,C,2,9,2017,1,8.624732988,36.14203155,0.183699871,0.214720529,0.558918498,38.41714485,T18_160_C_1
30,T18,160,E,2,9,2017,1,2.624843431,4.541513213,0.184346035,0.215475809,0.558918498,38.55227717,T18_160_E_1
31,T27,80,A,2,9,2017,0,3.890204051,8.522112632,0.291743119,0.314751726,0.592880763,53.0885375,T27_80_A_0
32,T27,80,B,2,9,2017,0,1.508305975,3.30418488,0.304101839,0.328085128,0.592880763,55.33745546,T27_80_B_0
